TaskID,TaskName,Type,Importance,Duration,DayOfWeek,StartTime,EndTime,UserID,PreferredTime
1542,Exercise,Personal,Less Important,45,Sunday,6:45,7:30,user1,Morning
02oKz4hI5fgvVaY7nZ7s,coding session,Education,Normal,15,Monday,13:00,13:15,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Afternoon
1054,Drive to work,Work,Normal,30,Saturday,9:30,10:00,user1,Morning
812,Take a shower,Personal,Normal,20,Wednesday,13:30,13:50,user1,Afternoon
857,Pack bag,Personal,Normal,10,Friday,7:00,7:10,user1,Morning
666,Writing,Personal,Very Important,21,Wednesday,2:00,2:21,user1,Evening
2423,Grocery shopping,Personal,Very Important,60,Wednesday,18:00,19:00,user1,Evening
1527,Plan for the new week,Work,Important,45,Saturday,8:00,8:15,user1,Morning
2023,Respond to work emails,Work,Very Important,30,Sunday,8:45,9:15,user1,Morning
1388,Call a colleague for a quick check-in,Work,Normal,10,Wednesday,14:00,14:10,user1,Afternoon
2836,Drop off donation,Personal,Very Important,60,Wednesday,10:15,11:15,user1,Morning
508,Do housework,Personal,Normal,45,Thursday,18:00,18:45,user1,Evening
1494,Have a meeting,Work,Very Important,60,Thursday,9:00,10:00,user1,Morning
1543,Write report,Work,Important,90,Monday,10:45,12:15,user1,Morning
2869,Attend webinar,Education,Important,60,Friday,12:30,13:30,user1,Afternoon
520,Make a phone call,Personal,Normal,20,Saturday,15:00,15:20,user1,Afternoon
27,Plan for the new week,Work,Important,45,Saturday,8:00,8:15,user1,Morning
430,Learn a new language,Education,Important,60,Monday,20:00,21:00,user1,Evening
1563,Yoga,Personal,Important,22,Sunday,13:00,13:22,user1,Afternoon
526,Garden,Personal,Normal,60,Friday,16:30,17:30,user1,Afternoon
592,Organize documents,Work,Normal,30,Friday,11:00,11:30,user1,Morning
1691,Organize the wardrobe,Personal,Normal,30,Wednesday,17:30,18:00,user1,Afternoon
362,Meeting,Personal,Important,61,Saturday,6:00,7:01,user1,Morning
1687,Listen to music,Personal,Normal,30,Wednesday,12:00,12:30,user1,Afternoon
2007,One-on-one with supervisor,Work,Important,60,Sunday,13:15,14:15,user1,Afternoon
1198,Take a coffee break,Personal,Normal,10,Monday,10:30,10:40,user1,Morning
1875,Write a blog post,Personal,Normal,45,Friday,17:15,18:00,user1,Afternoon
2431,Home workout,Personal,Normal,45,Saturday,8:30,9:15,user1,Morning
3232,Complete a coding challenge,Education,Important,30,Tuesday,15:00,15:30,user1,Afternoon
1293,Coding Session,Personal,Very Important,108,Tuesday,7:00,8:48,user1,Morning
1098,Make phone calls for work,Work,Normal,30,Thursday,9:00,9:30,user1,Morning
2592,Paint a picture,Personal,Normal,30,Friday,15:00,15:30,user1,Afternoon
0faxAxZwPhDQBtDXJwcA,gardening,Personal,Normal,45,Wednesday,7:30,8:15,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Morning
677,Meeting,Personal,Important,67,Sunday,12:00,13:07,user1,Afternoon
382,Meeting,Work,Less Important,86,Friday,4:00,5:26,user1,Evening
2222,Respond to work emails,Work,Very Important,30,Saturday,13:15,13:45,user1,Afternoon
842,Attend a party,Social,Less Important,180,Saturday,18:30,21:30,user1,Evening
0iGD6kJBv23mtsW6QH05,plan new week,Work,Important,45,Friday,8:15,9:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Morning
2749,Take online quiz,Education,Very Important,45,Monday,20:30,21:15,user1,Evening
2509,Practice a new language,Education,Important,30,Saturday,19:15,19:45,user1,Evening
2348,Read a technical article,Education,Important,30,Tuesday,20:30,21:00,user1,Evening
0mJ0vfijO6N56mpO1J1U,sinus,Personal,Very Important,0,Thursday,22:54,23:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Evening
2918,Get a haircut,Personal,Very Important,60,Sunday,12:00,13:00,user1,Afternoon
305,Read a book,Personal,Normal,60,Friday,20:00,21:00,user1,Evening
2326,Grocery shopping,Personal,Very Important,30,Saturday,16:30,17:00,user1,Afternoon
507,Go shopping,Personal,Normal,60,Thursday,16:00,17:00,user1,Afternoon
3074,Visit the bank,Personal,Very Important,30,Thursday,12:30,13:00,user1,Afternoon
1370,Make a to-do list for the day,Personal,Normal,10,Saturday,7:20,7:30,user1,Morning
359,Coding Session,Personal,Normal,68,Wednesday,7:00,8:08,user1,Morning
1307,Attend a book club meeting,Personal,Important,90,Saturday,17:00,18:30,user1,Afternoon
3031,Home workout,Personal,Normal,60,Sunday,8:15,9:15,user1,Morning
3134,Coffee with a friend,Personal,Less Important,45,Saturday,16:00,16:45,user1,Afternoon
72,Yoga,Work,Important,16,Tuesday,20:00,20:16,user1,Evening
514,Listen to music,Personal,Less Important,30,Friday,13:50,14:20,user1,Afternoon
2079,Attend webinar,Education,Important,30,Sunday,10:00,10:30,user1,Morning
3014,Create flashcards for revision,Education,Very Important,45,Wednesday,16:30,17:15,user1,Afternoon
732,Review monthly budget,Personal,Important,45,Wednesday,19:30,20:15,user1,Evening
2938,Attend a birthday party,Personal,Less Important,60,Sunday,17:00,18:00,user1,Afternoon
154qucml9gXV4cGdPkzo,rest,Personal,Less Important,30,Tuesday,13:10,13:40,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Afternoon
1138,Visit family,Personal,Normal,120,Sunday,14:00,16:00,user1,Afternoon
3280,Read research paper,Education,Important,30,Saturday,19:30,20:00,user1,Evening
3115,Home workout,Personal,Normal,30,Monday,7:00,7:30,user1,Morning
1434,Do crafts,Personal,Less Important,60,Sunday,16:30,17:30,user1,Afternoon
2468,Attend a birthday party,Personal,Less Important,45,Tuesday,21:15,22:00,user1,Evening
2661,Home workout,Personal,Normal,60,Thursday,7:45,8:45,user1,Morning
979,Meeting,Work,Normal,102,Tuesday,11:00,12:42,user1,Morning
293,Read a magazine,Personal,Less Important,20,Saturday,15:00,15:20,user1,Afternoon
1536,Write a diary,Personal,Normal,30,Monday,22:45,23:15,user1,Evening
3265,Respond to work emails,Work,Very Important,60,Thursday,15:45,16:45,user1,Afternoon
2966,Chat with neighbors,Personal,Less Important,45,Wednesday,19:00,19:45,user1,Evening
576,Write to-do list,Work,Normal,10,Sunday,8:45,8:55,user1,Morning
3027,Design a presentation,Work,Very Important,30,Friday,14:45,15:15,user1,Afternoon
1161,Organize desk,Work,Normal,15,Tuesday,8:30,8:45,user1,Morning
397,Grocery Shopping,Personal,Important,101,Saturday,9:00,10:41,user1,Morning
1403,Read the news,Personal,Normal,20,Wednesday,8:15,8:35,user1,Morning
327,Plan for the new week,Work,Important,45,Saturday,8:00,8:15,user1,Morning
1775,Meditate,Personal,Normal,15,Saturday,6:40,6:55,user1,Morning
3080,Join online group chat,Personal,Less Important,60,Thursday,21:30,22:30,user1,Evening
2520,Prepare budget report,Work,Very Important,45,Tuesday,15:15,16:00,user1,Afternoon
658,Yoga,Work,Very Important,46,Tuesday,19:00,19:46,user1,Evening
776,Take a quick break,Personal,Normal,10,Tuesday,15:00,15:10,user1,Afternoon
2934,Write short story,Personal,Normal,45,Monday,16:30,17:15,user1,Afternoon
2643,Watch a movie,Personal,Less Important,45,Saturday,18:15,19:00,user1,Evening
488,Call a colleague for a quick check-in,Work,Normal,10,Wednesday,14:00,14:10,user1,Afternoon
880,Go for a bike ride,Personal,Less Important,30,Thursday,17:00,17:30,user1,Afternoon
555,Water plants,Personal,Normal,15,Saturday,6:35,6:50,user1,Morning
2765,Watch a stand-up comedy,Personal,Less Important,45,Sunday,20:45,21:30,user1,Evening
608,Plan for the new week,Work,Important,45,Monday,8:00,8:45,user1,Morning
3036,Write a poem,Personal,Normal,45,Monday,13:30,14:15,user1,Afternoon
2108,Paint a picture,Personal,Normal,45,Sunday,16:45,17:30,user1,Afternoon
2811,Summarize a chapter,Education,Very Important,45,Sunday,10:00,10:45,user1,Morning
1916,Buy stationery,Personal,Very Important,30,Wednesday,14:00,14:30,user1,Afternoon
198,Make phone calls for work,Work,Normal,30,Thursday,9:00,9:30,user1,Morning
1884,Hang out at a cafe,Personal,Less Important,45,Saturday,15:30,16:15,user1,Afternoon
1749,Shop online,Personal,Normal,60,Saturday,12:00,13:00,user1,Afternoon
233,Post on a blog,Personal,Less Important,30,Sunday,14:30,15:00,user1,Afternoon
1514,Learn English,Education,Important,60,Sunday,15:00,16:00,user1,Afternoon
395,Meeting,Work,Very Important,82,Thursday,20:00,21:22,user1,Evening
1kCQHu5pvezwO3v1SQwy,sinus,Personal,Very Important,0,Thursday,22:54,23:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Evening
310,Cooking,Personal,Normal,60,Wednesday,12:00,13:00,user1,Afternoon
3179,Join online group chat,Personal,Less Important,30,Sunday,21:00,21:30,user1,Evening
1lmcB5bmE7tCXu6himyS,rest,Personal,Less Important,30,Tuesday,13:00,13:30,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Afternoon
605,Read a book,Personal,Normal,60,Friday,20:00,21:00,user1,Evening
1384,Have a cup of tea,Personal,Normal,15,Wednesday,7:00,7:15,user1,Morning
1079,Clean the kitchen,Personal,Normal,30,Tuesday,17:00,17:30,user1,Afternoon
1163,Walk to the bus stop,Personal,Normal,10,Thursday,7:30,7:40,user1,Morning
2911,Evening gym workout,Personal,Normal,45,Thursday,18:15,19:00,user1,Evening
2683,Stream live concert,Personal,Less Important,45,Monday,20:15,21:00,user1,Evening
412,Water the garden,Personal,Less Important,30,Thursday,8:00,8:30,user1,Morning
1346,Plan a creative project,Personal,Normal,60,Wednesday,18:00,19:00,user1,Evening
1w9rSmfOC8q8kCserZJa,restt,Personal,Less Important,30,Tuesday,13:10,13:40,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Afternoon
404,Virtual networking event,Work,Normal,90,Wednesday,19:00,20:30,user1,Evening
1678,Check bank statements,Personal,Normal,15,Tuesday,16:30,16:45,user1,Afternoon
1ymUsgL45awPfxmF1XPu,sinus,Personal,Very Important,0,Thursday,22:54,23:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Evening
3154,Visit pharmacy,Personal,Very Important,45,Wednesday,15:00,15:45,user1,Afternoon
1396,Take a morning walk,Personal,Normal,20,Thursday,7:00,7:20,user1,Morning
2986,Write report,Work,Very Important,45,Saturday,10:30,11:15,user1,Morning
1111,Rest,Personal,Less Important,30,Tuesday,13:00,13:30,user1,Afternoon
761,Check work emails,Work,Normal,20,Monday,14:00,14:20,user1,Afternoon
2671,Product demo with client,Work,Important,45,Wednesday,12:30,13:15,user1,Afternoon
2539,Drop off donation,Personal,Very Important,30,Saturday,16:45,17:15,user1,Afternoon
1636,Update LinkedIn profile,Work,Important,45,Sunday,12:00,12:45,user1,Afternoon
3069,Coffee with a friend,Personal,Less Important,45,Monday,15:30,16:15,user1,Afternoon
2948,Weekly team briefing,Work,Important,60,Monday,10:30,11:30,user1,Morning
1496,Go to a fitness class,Personal,Normal,60,Saturday,19:00,20:00,user1,Evening
1242,Exercise,Personal,Less Important,45,Sunday,6:45,7:30,user1,Morning
2BHBxmsFsFPlCmKQc6li,meeting,Work,Normal,95,Wednesday,16:00,17:35,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Afternoon
1648,Relax with an audiobook,Personal,Normal,60,Friday,21:00,22:00,user1,Evening
2826,Read comics,Personal,Less Important,60,Monday,20:45,21:45,user1,Evening
1621,Call a relative,Personal,Normal,30,Saturday,10:30,11:00,user1,Morning
2974,Hang out at a cafe,Personal,Less Important,30,Friday,15:15,15:45,user1,Afternoon
3038,Grocery shopping,Personal,Very Important,30,Monday,17:15,17:45,user1,Afternoon
2770,Renew ID card,Personal,Very Important,45,Sunday,14:15,15:00,user1,Afternoon
114,Weekend getaway planning,Personal,Normal,90,Saturday,15:00,16:30,user1,Afternoon
587,Take a power nap,Personal,Less Important,20,Thursday,14:00,14:20,user1,Afternoon
2681,Take notes from an eBook,Education,Important,30,Sunday,20:45,21:15,user1,Evening
1381,Call family members,Personal,Normal,15,Tuesday,19:00,19:15,user1,Evening
825,Play sports,Personal,Normal,60,Thursday,17:30,18:30,user1,Afternoon
2515,Stretching session,Personal,Normal,60,Thursday,6:15,7:15,user1,Morning
3277,Watch a movie,Personal,Less Important,30,Tuesday,21:00,21:30,user1,Evening
688,Reading,Personal,Normal,81,Thursday,13:00,14:21,user1,Afternoon
522,Clean the room,Personal,Normal,30,Monday,11:30,12:00,user1,Morning
2101,Swimming,Personal,Normal,30,Wednesday,8:15,8:45,user1,Morning
3062,Jogging,Personal,Normal,60,Wednesday,7:45,8:45,user1,Morning
548,Handle paperwork,Work,Normal,30,Friday,13:15,13:45,user1,Afternoon
1355,Morning coffee break,Personal,Normal,15,Saturday,10:00,10:15,user1,Morning
3241,Write a summary of today's learnings,Education,Very Important,60,Saturday,17:00,18:00,user1,Afternoon
3095,Grocery shopping,Personal,Very Important,60,Wednesday,15:15,16:15,user1,Afternoon
1923,Clean the bathroom,Personal,Normal,45,Thursday,13:45,14:30,user1,Afternoon
1101,Browse social media,Personal,Less Important,15,Tuesday,7:45,8:00,user1,Morning
538,Visit family,Personal,Normal,120,Sunday,14:00,16:00,user1,Afternoon
2449,Solve math problems,Education,Very Important,60,Sunday,20:30,21:30,user1,Evening
1761,Organize desk,Work,Normal,15,Tuesday,8:30,8:45,user1,Morning
724,Organize workspace,Work,Important,60,Tuesday,13:00,14:00,user1,Afternoon
2343,Paint a picture,Personal,Normal,45,Tuesday,13:30,14:15,user1,Afternoon
1690,Take a nap,Personal,Less Important,30,Wednesday,16:30,17:00,user1,Afternoon
3192,Call family,Personal,Less Important,60,Wednesday,19:45,20:45,user1,Evening
1821,Jogging,Personal,Normal,45,Thursday,7:15,8:00,user1,Morning
3169,Paint a picture,Personal,Normal,30,Wednesday,18:15,18:45,user1,Evening
1566,Writing,Personal,Very Important,21,Wednesday,2:00,2:21,user1,Evening
845,Do homework,Education,Important,60,Wednesday,18:00,19:00,user1,Evening
801,Browse social media,Personal,Less Important,15,Tuesday,7:45,8:00,user1,Morning
2196,Take notes from an eBook,Education,Important,60,Saturday,18:45,19:45,user1,Evening
1898,Drop off donation,Personal,Very Important,45,Friday,15:15,16:00,user1,Afternoon
1243,Write report,Work,Important,90,Monday,10:45,12:15,user1,Morning
1093,Reply to personal messages,Personal,Normal,15,Wednesday,19:30,19:45,user1,Evening
1042,Walk a pet,Personal,Normal,30,Saturday,8:00,8:30,user1,Morning
1329,Practice a musical instrument,Personal,Normal,60,Sunday,17:30,18:30,user1,Afternoon
2qMzDHvSNGGWXxCTR9Gz,sinus,Personal,Very Important,0,Thursday,22:54,23:00,AcggWN6cpMNmEhlgSKPVUc1Ylq32,Evening
1526,Teamwork,Work,Very Important,120,Friday,14:15,16:15,user1,Afternoon
585,Set alarms,Personal,Normal,5,Tuesday,22:30,22:35,user1,Evening
2044,Dust shelves,Personal,Normal,60,Saturday,12:30,13:30,user1,Afternoon
1353,Go to work,Work,Very Important,60,Monday,8:30,9:30,user1,Morning
