TaskID,TaskName,Type,Importance,Duration,DayOfWeek,StartTime,EndTime,UserID
1801,Clean the kitchen,Personal,Normal,45,Sunday,16:00,16:45,user1
1802,Dinner with friends,Personal,Less Important,30,Monday,19:30,20:00,user1
1803,Pick up package,Personal,More Important,30,Thursday,11:45,12:15,user1
1804,Take online quiz,Education,More Important,45,Tuesday,15:30,16:15,user1
1805,Clean the kitchen,Personal,Normal,30,Sunday,11:30,12:00,user1
1806,Edit a short video,Personal,Normal,60,Monday,19:30,20:30,user1
1807,Update project status,Work,More Important,45,Thursday,13:45,14:30,user1
1808,Do the laundry,Personal,Normal,45,Thursday,14:30,15:15,user1
1809,Clean the bathroom,Personal,Normal,30,Wednesday,9:45,10:15,user1
1810,Dinner with friends,Personal,Less Important,60,Thursday,18:45,19:45,user1
1811,Design a presentation,Work,More Important,60,Saturday,17:15,18:15,user1
1812,Design a presentation,Work,More Important,30,Thursday,16:00,16:30,user1
1813,Join an online gaming session,Personal,Less Important,60,Tuesday,19:45,20:45,user1
1814,Make a scrapbook,Personal,Normal,30,Saturday,15:30,16:00,user1
1815,One-on-one with supervisor,Work,Important,60,Tuesday,14:00,15:00,user1
1816,Dinner with friends,Personal,Less Important,45,Thursday,20:15,21:00,user1
1817,Practice a new language,Education,Important,45,Thursday,18:00,18:45,user1
1818,Jogging,Personal,Normal,30,Monday,5:30,6:00,user1
1819,Summarize a chapter,Education,More Important,60,Sunday,14:30,15:30,user1
1820,Attend webinar,Education,Important,30,Tuesday,15:30,16:00,user1
1821,Jogging,Personal,Normal,45,Thursday,7:15,8:00,user1
1822,Paint a picture,Personal,Normal,30,Monday,17:30,18:00,user1
1823,Practice a new language,Education,Important,30,Thursday,17:30,18:00,user1
1824,Call family,Personal,Less Important,30,Thursday,20:00,20:30,user1
1825,Take notes from an eBook,Education,Important,60,Monday,19:00,20:00,user1
1826,Write a blog post,Personal,Normal,30,Monday,16:00,16:30,user1
1827,Weekly team briefing,Work,Important,45,Sunday,9:45,10:30,user1
1828,Sketch a design,Personal,Normal,60,Wednesday,18:30,19:30,user1
1829,Watch a movie,Personal,Less Important,30,Saturday,20:15,20:45,user1
1830,Swimming,Personal,Normal,60,Saturday,6:45,7:45,user1
1831,Write a summary of today's learnings,Education,More Important,60,Monday,12:45,13:45,user1
1832,Home workout,Personal,Normal,60,Monday,8:30,9:30,user1
1833,Clean the bathroom,Personal,Normal,45,Tuesday,12:30,13:15,user1
1834,Home workout,Personal,Normal,60,Tuesday,8:45,9:45,user1
1835,Clean the kitchen,Personal,Normal,30,Wednesday,18:30,19:00,user1
1836,Swimming,Personal,Normal,60,Monday,8:15,9:15,user1
1837,Client discussion,Work,Important,30,Thursday,11:30,12:00,user1
1838,Yoga session,Personal,Normal,45,Sunday,6:00,6:45,user1
1839,Client discussion,Work,Important,30,Friday,11:15,11:45,user1
1840,Attend a birthday party,Personal,Less Important,30,Thursday,17:45,18:15,user1
1841,Explore new tools,Education,Important,60,Wednesday,14:45,15:45,user1
1842,Drop off donation,Personal,More Important,60,Thursday,9:00,10:00,user1
1843,Visit the bank,Personal,More Important,45,Sunday,13:45,14:30,user1
1844,Get a haircut,Personal,More Important,30,Friday,16:15,16:45,user1
1845,Product demo with client,Work,Important,60,Saturday,12:30,13:30,user1
1846,Coffee with a friend,Personal,Less Important,45,Tuesday,14:00,14:45,user1
1847,Yoga session,Personal,Normal,45,Wednesday,7:45,8:30,user1
1848,Explore new tools,Education,Important,30,Thursday,16:15,16:45,user1
1849,Summarize a chapter,Education,More Important,60,Monday,16:30,17:30,user1
1850,Design a presentation,Work,More Important,30,Tuesday,17:45,18:15,user1
1851,Paint a picture,Personal,Normal,60,Sunday,16:00,17:00,user1
1852,Watch a stand-up comedy,Personal,Less Important,60,Thursday,21:30,22:30,user1
1853,Cycling,Personal,Normal,45,Monday,7:30,8:15,user1
1854,Watch a stand-up comedy,Personal,Less Important,60,Friday,21:45,22:45,user1
1855,Design a presentation,Work,More Important,60,Sunday,13:15,14:15,user1
1856,Vacuum the floor,Personal,Normal,45,Friday,11:45,12:30,user1
1857,Make a scrapbook,Personal,Normal,30,Monday,17:15,17:45,user1
1858,Plan weekend gathering,Personal,Less Important,45,Friday,17:30,18:15,user1
1859,Play games,Personal,Less Important,60,Saturday,17:45,18:45,user1
1860,Play guitar,Personal,Normal,60,Wednesday,19:00,20:00,user1
1861,Respond to work emails,Work,More Important,60,Thursday,13:30,14:30,user1
1862,Edit a short video,Personal,Normal,60,Saturday,15:30,16:30,user1
1863,Take notes from an eBook,Education,Important,30,Tuesday,12:00,12:30,user1
1864,Coffee with a friend,Personal,Less Important,30,Wednesday,15:45,16:15,user1
1865,Get a haircut,Personal,More Important,60,Sunday,11:00,12:00,user1
1866,Clean the bathroom,Personal,Normal,30,Tuesday,16:00,16:30,user1
1867,Learn Python,Education,Important,30,Thursday,14:45,15:15,user1
1868,Write a poem,Personal,Normal,30,Wednesday,14:15,14:45,user1
1869,Vacuum the floor,Personal,Normal,45,Monday,15:00,15:45,user1
1870,Hang out at a cafe,Personal,Less Important,60,Monday,16:00,17:00,user1
1871,Prepare budget report,Work,More Important,60,Sunday,14:30,15:30,user1
1872,Water the plants,Personal,Normal,30,Monday,8:15,8:45,user1
1873,Sketch a design,Personal,Normal,45,Monday,14:45,15:30,user1
1874,Coffee with a friend,Personal,Less Important,30,Monday,14:30,15:00,user1
1875,Write a blog post,Personal,Normal,45,Friday,17:15,18:00,user1
1876,Chat with neighbors,Personal,Less Important,30,Wednesday,18:45,19:15,user1
1877,Online course session,Education,Important,45,Tuesday,15:00,15:45,user1
1878,Watch a stand-up comedy,Personal,Less Important,30,Thursday,20:30,21:00,user1
1879,Attend a birthday party,Personal,Less Important,45,Wednesday,19:15,20:00,user1
1880,Evening walk,Personal,Normal,60,Thursday,19:45,20:45,user1
1881,Clean the kitchen,Personal,Normal,30,Sunday,17:15,17:45,user1
1882,Cycling,Personal,Normal,45,Wednesday,6:45,7:30,user1
1883,Yoga session,Personal,Normal,30,Sunday,7:15,7:45,user1
1884,Hang out at a cafe,Personal,Less Important,45,Saturday,15:30,16:15,user1
1885,Watch online tutorial,Education,Important,60,Sunday,10:30,11:30,user1
1886,Grocery shopping,Personal,More Important,45,Tuesday,16:00,16:45,user1
1887,Chat with neighbors,Personal,Less Important,30,Thursday,19:15,19:45,user1
1888,Clean the bathroom,Personal,Normal,45,Wednesday,15:45,16:30,user1
1889,Coffee with a friend,Personal,Less Important,30,Friday,17:15,17:45,user1
1890,Online course session,Education,Important,45,Monday,12:45,13:30,user1
1891,Write report,Work,More Important,60,Monday,11:00,12:00,user1
1892,Make a scrapbook,Personal,Normal,60,Monday,18:30,19:30,user1
1893,Buy stationery,Personal,More Important,45,Sunday,12:45,13:30,user1
1894,Pick up package,Personal,More Important,30,Friday,13:00,13:30,user1
1895,Wash dishes,Personal,Normal,45,Monday,17:30,18:15,user1
1896,Wash dishes,Personal,Normal,30,Tuesday,14:00,14:30,user1
1897,Vacuum the floor,Personal,Normal,45,Saturday,15:45,16:30,user1
1898,Drop off donation,Personal,More Important,45,Friday,15:15,16:00,user1
1899,Product demo with client,Work,Important,30,Friday,10:15,10:45,user1
1900,Product demo with client,Work,Important,45,Wednesday,11:30,12:15,user1
1901,Visit pharmacy,Personal,More Important,45,Tuesday,13:15,14:00,user1
1902,Join online group chat,Personal,Less Important,60,Sunday,21:30,22:30,user1
1903,Record a song,Personal,Normal,30,Wednesday,20:15,20:45,user1
1904,Join an online gaming session,Personal,Less Important,60,Wednesday,18:45,19:45,user1
1905,Read comics,Personal,Less Important,45,Wednesday,21:45,22:30,user1
1906,Wash dishes,Personal,Normal,30,Wednesday,14:15,14:45,user1
1907,Client discussion,Work,Important,45,Saturday,13:15,14:00,user1
1908,Read comics,Personal,Less Important,45,Saturday,21:45,22:30,user1
1909,Visit pharmacy,Personal,More Important,60,Wednesday,18:15,19:15,user1
1910,Learn Python,Education,Important,45,Sunday,11:15,12:00,user1
1911,Visit pharmacy,Personal,More Important,60,Sunday,10:00,11:00,user1
1912,Grocery shopping,Personal,More Important,30,Monday,18:30,19:00,user1
1913,Organize closet,Personal,Normal,30,Thursday,12:45,13:15,user1
1914,Write a blog post,Personal,Normal,60,Sunday,16:00,17:00,user1
1915,Visit pharmacy,Personal,More Important,30,Saturday,12:00,12:30,user1
1916,Buy stationery,Personal,More Important,30,Wednesday,14:00,14:30,user1
1917,Create flashcards for revision,Education,More Important,45,Saturday,12:30,13:15,user1
1918,Write a poem,Personal,Normal,45,Sunday,14:30,15:15,user1
1919,Client discussion,Work,Important,60,Friday,14:45,15:45,user1
1920,Watch online tutorial,Education,Important,45,Monday,12:45,13:30,user1
1921,Respond to work emails,Work,More Important,30,Thursday,12:45,13:15,user1
1922,Water the plants,Personal,Normal,45,Tuesday,7:45,8:30,user1
1923,Clean the bathroom,Personal,Normal,45,Thursday,13:45,14:30,user1
1924,Evening gym workout,Personal,Normal,60,Thursday,17:15,18:15,user1
1925,Stretching session,Personal,Normal,30,Monday,7:15,7:45,user1
1926,Evening walk,Personal,Normal,60,Tuesday,19:15,20:15,user1
1927,Visit the bank,Personal,More Important,45,Saturday,10:45,11:30,user1
1928,Client discussion,Work,Important,30,Thursday,10:15,10:45,user1
1929,Review lecture notes,Education,More Important,45,Monday,15:00,15:45,user1
1930,Clean the bathroom,Personal,Normal,60,Wednesday,11:00,12:00,user1
1931,Record a song,Personal,Normal,45,Tuesday,19:00,19:45,user1
1932,Update project status,Work,More Important,45,Saturday,9:45,10:30,user1
1933,Pick up package,Personal,More Important,45,Monday,10:00,10:45,user1
1934,Take online quiz,Education,More Important,30,Saturday,13:30,14:00,user1
1935,Grocery shopping,Personal,More Important,30,Wednesday,11:45,12:15,user1
1936,Learn Python,Education,Important,45,Tuesday,15:00,15:45,user1
1937,Attend a birthday party,Personal,Less Important,45,Friday,18:30,19:15,user1
1938,Renew ID card,Personal,More Important,30,Sunday,13:00,13:30,user1
1939,Clean the bathroom,Personal,Normal,60,Tuesday,15:15,16:15,user1
1940,Reply to messages,Personal,Less Important,45,Wednesday,19:30,20:15,user1
1941,Join online group chat,Personal,Less Important,60,Saturday,20:30,21:30,user1
1942,Make a scrapbook,Personal,Normal,45,Tuesday,15:00,15:45,user1
1943,Clean the kitchen,Personal,Normal,60,Sunday,10:45,11:45,user1
1944,Clean the bathroom,Personal,Normal,45,Friday,12:00,12:45,user1
1945,Test new software features,Work,More Important,30,Thursday,14:30,15:00,user1
1946,Reply to messages,Personal,Less Important,60,Thursday,21:00,22:00,user1
1947,Evening walk,Personal,Normal,45,Sunday,18:15,19:00,user1
1948,Update project status,Work,More Important,45,Wednesday,14:30,15:15,user1
1949,Clean the kitchen,Personal,Normal,60,Tuesday,16:45,17:45,user1
1950,Test new software features,Work,More Important,60,Thursday,14:15,15:15,user1
1951,Listen to music,Personal,Less Important,60,Sunday,20:45,21:45,user1
1952,Take notes from an eBook,Education,Important,30,Tuesday,18:15,18:45,user1
1953,Swimming,Personal,Normal,45,Friday,8:00,8:45,user1
1954,Call family,Personal,Less Important,60,Wednesday,20:30,21:30,user1
1955,Home workout,Personal,Normal,30,Wednesday,6:15,6:45,user1
1956,Dust shelves,Personal,Normal,45,Wednesday,15:15,16:00,user1
1957,Take online quiz,Education,More Important,30,Sunday,18:30,19:00,user1
1958,Get a haircut,Personal,More Important,30,Wednesday,13:45,14:15,user1
1959,Make a scrapbook,Personal,Normal,60,Monday,15:00,16:00,user1
1960,Mail documents,Personal,More Important,30,Wednesday,12:30,13:00,user1
1961,Pick up package,Personal,More Important,30,Friday,17:45,18:15,user1
1962,Renew ID card,Personal,More Important,30,Thursday,10:00,10:30,user1
1963,Watch a stand-up comedy,Personal,Less Important,60,Monday,21:30,22:30,user1
1964,Visit pharmacy,Personal,More Important,30,Friday,15:15,15:45,user1
1965,Listen to music,Personal,Less Important,30,Tuesday,19:00,19:30,user1
1966,Coffee with a friend,Personal,Less Important,30,Tuesday,14:45,15:15,user1
1967,Product demo with client,Work,Important,30,Saturday,14:00,14:30,user1
1968,Practice a new language,Education,Important,60,Tuesday,8:30,9:30,user1
1969,Vacuum the floor,Personal,Normal,30,Sunday,11:45,12:15,user1
1970,Water the plants,Personal,Normal,60,Sunday,8:15,9:15,user1
1971,Listen to music,Personal,Less Important,60,Wednesday,19:45,20:45,user1
1972,One-on-one with supervisor,Work,Important,45,Thursday,13:15,14:00,user1
1973,Watch a movie,Personal,Less Important,30,Friday,21:30,22:00,user1
1974,Stretching session,Personal,Normal,60,Wednesday,7:00,8:00,user1
1975,Code review session,Work,More Important,45,Wednesday,15:30,16:15,user1
1976,Stretching session,Personal,Normal,45,Wednesday,6:45,7:30,user1
1977,Pick up package,Personal,More Important,30,Wednesday,12:15,12:45,user1
1978,Organize closet,Personal,Normal,30,Tuesday,14:45,15:15,user1
1979,Code review session,Work,More Important,45,Monday,12:30,13:15,user1
1980,Hang out at a cafe,Personal,Less Important,30,Wednesday,16:15,16:45,user1
1981,Get a haircut,Personal,More Important,60,Thursday,15:15,16:15,user1
1982,Make a scrapbook,Personal,Normal,60,Wednesday,17:15,18:15,user1
1983,Product demo with client,Work,Important,60,Wednesday,10:00,11:00,user1
1984,Plan weekend gathering,Personal,Less Important,45,Saturday,14:30,15:15,user1
1985,Clean the bathroom,Personal,Normal,30,Monday,10:00,10:30,user1
1986,Coffee with a friend,Personal,Less Important,30,Friday,14:15,14:45,user1
1987,Create flashcards for revision,Education,More Important,30,Saturday,13:00,13:30,user1
1988,Make a scrapbook,Personal,Normal,60,Thursday,15:30,16:30,user1
1989,Read comics,Personal,Less Important,30,Thursday,21:15,21:45,user1
1990,Vacuum the floor,Personal,Normal,45,Thursday,17:15,18:00,user1
1991,Evening gym workout,Personal,Normal,30,Saturday,18:45,19:15,user1
1992,Watch a stand-up comedy,Personal,Less Important,30,Wednesday,20:00,20:30,user1
1993,Home workout,Personal,Normal,60,Friday,6:00,7:00,user1
1994,Solve math problems,Education,More Important,60,Wednesday,13:45,14:45,user1
1995,Do the laundry,Personal,Normal,30,Wednesday,15:15,15:45,user1
1996,Edit a short video,Personal,Normal,60,Wednesday,19:45,20:45,user1
1997,Swimming,Personal,Normal,45,Thursday,6:15,7:00,user1
1998,Prepare budget report,Work,More Important,60,Saturday,9:45,10:45,user1
1999,Swimming,Personal,Normal,30,Monday,8:45,9:15,user1
2000,Watch a stand-up comedy,Personal,Less Important,45,Friday,21:15,22:00,user1
2001,Create flashcards for revision,Education,More Important,60,Friday,17:45,18:45,user1
2002,One-on-one with supervisor,Work,Important,30,Friday,14:45,15:15,user1
2003,Water the plants,Personal,Normal,30,Tuesday,9:45,10:15,user1
2004,Read a book,Education,More Important,30,Wednesday,9:15,9:45,user1
2005,Watch a stand-up comedy,Personal,Less Important,45,Tuesday,21:15,22:00,user1
2006,Paint a picture,Personal,Normal,60,Friday,15:30,16:30,user1
2007,One-on-one with supervisor,Work,Important,60,Sunday,13:15,14:15,user1
2008,Write short story,Personal,Normal,45,Wednesday,10:15,11:00,user1
2009,Watch a movie,Personal,Less Important,30,Sunday,19:30,20:00,user1
2010,Sketch a design,Personal,Normal,60,Friday,18:30,19:30,user1
2011,Summarize a chapter,Education,More Important,60,Thursday,19:15,20:15,user1
2012,Chat with neighbors,Personal,Less Important,60,Monday,18:45,19:45,user1
2013,Yoga session,Personal,Normal,30,Sunday,7:45,8:15,user1
2014,Call family,Personal,Less Important,60,Monday,20:15,21:15,user1
2015,Strategy discussion,Work,Important,45,Wednesday,13:15,14:00,user1
2016,Project sync-up,Work,Important,60,Friday,9:00,10:00,user1
2017,Weekly team briefing,Work,Important,30,Sunday,9:30,10:00,user1
2018,Attend webinar,Education,Important,60,Wednesday,13:30,14:30,user1
2019,Learn Python,Education,Important,30,Saturday,11:30,12:00,user1
2020,Watch a movie,Personal,Less Important,60,Monday,21:45,22:45,user1
2021,Stretching session,Personal,Normal,45,Thursday,7:45,8:30,user1
2022,Practice a new language,Education,Important,30,Wednesday,8:30,9:00,user1
2023,Respond to work emails,Work,More Important,30,Sunday,8:45,9:15,user1
2024,Summarize a chapter,Education,More Important,60,Wednesday,12:15,13:15,user1
2025,Write short story,Personal,Normal,30,Tuesday,17:30,18:00,user1
2026,Visit the bank,Personal,More Important,45,Monday,9:30,10:15,user1
2027,Watch a stand-up comedy,Personal,Less Important,60,Thursday,20:45,21:45,user1
2028,One-on-one with supervisor,Work,Important,45,Saturday,16:30,17:15,user1
2029,Project sync-up,Work,Important,30,Thursday,10:45,11:15,user1
2030,Read comics,Personal,Less Important,45,Saturday,17:30,18:15,user1
2031,Make a scrapbook,Personal,Normal,60,Tuesday,15:45,16:45,user1
2032,Write short story,Personal,Normal,60,Thursday,11:15,12:15,user1
2033,Practice coding,Education,Important,30,Wednesday,21:45,22:15,user1
2034,Grocery shopping,Personal,More Important,60,Friday,14:15,15:15,user1
2035,Stream live concert,Personal,Less Important,30,Wednesday,21:30,22:00,user1
2036,Review lecture notes,Education,More Important,60,Monday,17:15,18:15,user1
2037,Grocery shopping,Personal,More Important,60,Tuesday,13:00,14:00,user1
2038,Pick up package,Personal,More Important,45,Wednesday,12:00,12:45,user1
2039,Explore new tools,Education,Important,60,Saturday,15:30,16:30,user1
2040,Paint a picture,Personal,Normal,60,Thursday,17:15,18:15,user1
2041,Hang out at a cafe,Personal,Less Important,30,Tuesday,16:00,16:30,user1
2042,Swimming,Personal,Normal,45,Thursday,6:30,7:15,user1
2043,Renew ID card,Personal,More Important,60,Wednesday,9:15,10:15,user1
2044,Dust shelves,Personal,Normal,60,Saturday,12:30,13:30,user1
2045,Make a scrapbook,Personal,Normal,60,Monday,18:45,19:45,user1
2046,Write a poem,Personal,Normal,30,Tuesday,13:15,13:45,user1
2047,Write a blog post,Personal,Normal,30,Friday,17:45,18:15,user1
2048,Summarize a chapter,Education,More Important,60,Monday,18:30,19:30,user1
2049,Chat with neighbors,Personal,Less Important,60,Friday,19:45,20:45,user1
2050,Test new software features,Work,More Important,30,Monday,13:45,14:15,user1
2051,Call family,Personal,Less Important,60,Saturday,20:15,21:15,user1
2052,Play games,Personal,Less Important,60,Tuesday,19:30,20:30,user1
2053,Update project status,Work,More Important,45,Sunday,14:15,15:00,user1
2054,Practice coding,Education,Important,60,Wednesday,10:00,11:00,user1
2055,Visit pharmacy,Personal,More Important,30,Monday,13:00,13:30,user1
2056,Plan weekend gathering,Personal,Less Important,45,Wednesday,16:45,17:30,user1
2057,Write report,Work,More Important,30,Monday,10:30,11:00,user1
2058,Get a haircut,Personal,More Important,60,Monday,15:15,16:15,user1
2059,Practice a new language,Education,Important,45,Wednesday,15:30,16:15,user1
2060,Read a technical article,Education,Important,45,Monday,18:15,19:00,user1
2061,Watch a movie,Personal,Less Important,60,Wednesday,18:15,19:15,user1
2062,Buy stationery,Personal,More Important,45,Friday,15:30,16:15,user1
2063,Read comics,Personal,Less Important,45,Friday,19:45,20:30,user1
2064,Code review session,Work,More Important,60,Tuesday,15:45,16:45,user1
2065,Visit the bank,Personal,More Important,45,Thursday,11:15,12:00,user1
2066,Mop the floor,Personal,Normal,45,Monday,11:15,12:00,user1
2067,Clean the bathroom,Personal,Normal,60,Sunday,17:15,18:15,user1
2068,Listen to music,Personal,Less Important,30,Monday,18:00,18:30,user1
2069,Summarize a chapter,Education,More Important,30,Sunday,15:15,15:45,user1
2070,Summarize a chapter,Education,More Important,30,Wednesday,13:00,13:30,user1
2071,Attend a birthday party,Personal,Less Important,45,Saturday,21:45,22:30,user1
2072,Dinner with friends,Personal,Less Important,45,Thursday,19:00,19:45,user1
2073,Online course session,Education,Important,30,Thursday,15:30,16:00,user1
2074,Project sync-up,Work,Important,30,Friday,9:30,10:00,user1
2075,Swimming,Personal,Normal,30,Tuesday,8:00,8:30,user1
2076,Complete a coding challenge,Education,Important,45,Sunday,9:15,10:00,user1
2077,Watch online tutorial,Education,Important,45,Friday,16:15,17:00,user1
2078,Strategy discussion,Work,Important,45,Thursday,13:15,14:00,user1
2079,Attend webinar,Education,Important,30,Sunday,10:00,10:30,user1
2080,Visit pharmacy,Personal,More Important,60,Tuesday,12:00,13:00,user1
2081,Mail documents,Personal,More Important,60,Saturday,16:00,17:00,user1
2082,Wash dishes,Personal,Normal,45,Wednesday,13:15,14:00,user1
2083,Attend a birthday party,Personal,Less Important,45,Sunday,21:00,21:45,user1
2084,Water the plants,Personal,Normal,45,Friday,7:15,8:00,user1
2085,Stream live concert,Personal,Less Important,60,Friday,21:15,22:15,user1
2086,Mail documents,Personal,More Important,45,Monday,15:45,16:30,user1
2087,Review lecture notes,Education,More Important,30,Monday,12:15,12:45,user1
2088,Mail documents,Personal,More Important,30,Sunday,11:15,11:45,user1
2089,Watch a stand-up comedy,Personal,Less Important,30,Tuesday,20:30,21:00,user1
2090,Attend a birthday party,Personal,Less Important,45,Thursday,21:00,21:45,user1
2091,Get a haircut,Personal,More Important,30,Sunday,16:45,17:15,user1
2092,Home workout,Personal,Normal,60,Friday,8:15,9:15,user1
2093,Swimming,Personal,Normal,60,Wednesday,6:30,7:30,user1
2094,Product demo with client,Work,Important,45,Wednesday,11:00,11:45,user1
2095,Weekly team briefing,Work,Important,30,Monday,10:15,10:45,user1
2096,Pick up package,Personal,More Important,60,Thursday,16:00,17:00,user1
2097,Complete a coding challenge,Education,Important,30,Saturday,12:15,12:45,user1
2098,Vacuum the floor,Personal,Normal,45,Wednesday,10:00,10:45,user1
2099,Record a song,Personal,Normal,60,Monday,17:30,18:30,user1
2100,Edit a short video,Personal,Normal,45,Saturday,15:15,16:00,user1
2101,Swimming,Personal,Normal,30,Wednesday,8:15,8:45,user1
2102,Listen to music,Personal,Less Important,45,Saturday,18:00,18:45,user1
2103,Buy stationery,Personal,More Important,45,Saturday,11:45,12:30,user1
